CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,Churn,patient_id
CUS-000022,44.0,Male,Miami,Gold,9,273.5,Fashion,2024-08-12,0.27,105.4,235,4,Amazing quality and great customer service in sports.,0,001
CUS-000023,19.0,Male,New York,Silver,47,968.3,Grocery,2025-03-29,0.57,30.4,258,7,Had issues with delivery for beauty.,0,001
CUS-000024,69.0,Female,Houston,Silver,27,922.4,Grocery,2024-10-30,0.17,10.8,30,4,Fast shipping and excellent sports options!,0,001
CUS-000025,69.0,Male,San Francisco,Gold,25,3528.15,Sports,2024-03-31,0.65,5.0,121,8,Amazing quality and great customer service in home.,0,001
CUS-000026,69.0,Female,Miami,Silver,9,1087.05,Fashion,2025-01-14,0.55,88.3,0,7,Fast shipping and excellent grocery options!,0,001
CUS-000027,35.0,Female,New York,Silver,25,855.24,Grocery,2025-01-14,0.23,60.9,125,15,Very satisfied with my electronics purchase.,0,001
CUS-000028,54.0,Female,New York,Gold,35,869.75,Grocery,2025-03-23,0.28,128.7,275,3,Had issues with delivery for electronics.,0,001
CUS-000029,60.0,Female,Chicago,Silver,70,5335.51,Beauty,2025-05-31,0.03,5.0,9,6,Had issues with delivery for electronics.,0,001
CUS-000030,37.0,Non-binary,Houston,Silver,18,811.07,Toys,2025-01-11,0.08,5.0,357,11,Electronics selection could be better.,0,002
CUS-000031,24.0,Male,Chicago,Silver,2,52.63,Home,2023-08-16,0.38,116.1,54,5,Amazing quality and great customer service in beauty.,0,002
CUS-000032,69.0,Female,New York,Gold,48,52.63,Sports,2024-02-18,0.3,19.3,302,3,Amazing quality and great customer service in electronics.,0,002
CUS-000033,44.0,Female,Boston,Silver,46,529.84,Toys,2025-02-19,0.52,77.3,337,7,Very satisfied with my home purchase.,0,002
CUS-000034,32.0,Male,Dallas,Silver,8,52.63,Sports,2025-01-14,0.09,142.3,363,11,Very satisfied with my home purchase.,0,002
CUS-000035,69.0,Male,Los Angeles,Silver,22,721.37,Books,2025-01-14,0.65,127.0,255,6,"Service needs improvement, especially for home.",1,002
CUS-000036,18.0,Male,Chicago,Gold,2,2826.44,Books,2025-01-14,0.51,20.9,23,7,"Loved the home selection, very happy!",0,002
CUS-000037,69.0,Male,Chicago,Silver,44,390.44,Toys,2025-01-14,0.49,100.9,226,1,Amazing quality and great customer service in home.,0,002
CUS-000038,59.0,Female,Los Angeles,Silver,2,52.63,Sports,2025-03-20,0.2,120.7,0,2,Amazing quality and great customer service in home.,0,002
CUS-000039,62.0,Male,Miami,Gold,43,1170.06,Grocery,2025-01-14,0.65,84.2,16,7,Fast shipping and excellent books options!,0,002
CUS-000040,27.0,Male,Los Angeles,Silver,44,859.47,Beauty,2025-01-11,0.14,135.0,109,7,Toys products exceeded my expectations.,0,002
CUS-000041,69.0,Female,San Francisco,Gold,70,711.23,Grocery,2024-01-26,0.01,35.0,90,9,Very satisfied with my grocery purchase.,0,002
CUS-000042,18.0,,Miami,Silver,25,650.79,Beauty,2025-03-20,0.2,5.0,0,6,Fast shipping and excellent books options!,0,002
CUS-000043,69.0,Male,Boston,Silver,18,3201.92,Grocery,2023-09-01,0.39,34.6,147,11,Fashion products exceeded my expectations.,0,002
CUS-000044,69.0,Male,Houston,Gold,9,52.63,Toys,2025-03-20,0.35,34.2,227,12,"Loved the books selection, very happy!",0,002
CUS-000045,21.0,Male,Houston,Silver,29,1016.33,Electronics,2024-06-12,0.65,5.0,287,16,Toys products exceeded my expectations.,0,002
CUS-000046,36.0,Male,Boston,Silver,20,1079.66,Fashion,2025-01-14,0.42,31.5,371,6,Sports products exceeded my expectations.,0,002
CUS-000047,69.0,Male,Houston,Gold,21,52.63,Sports,2023-08-30,0.01,91.3,132,8,Toys products exceeded my expectations.,0,002
CUS-000048,18.0,Female,San Francisco,Silver,23,757.36,Grocery,2025-01-14,0.01,11.5,132,11,"Loved the home selection, very happy!",0,002
CUS-000049,69.0,Male,San Francisco,Silver,26,1191.49,Books,2025-01-14,0.28,28.9,122,1,Amazing quality and great customer service in home.,0,002
CUS-000050,60.0,Male,Chicago,Silver,10,669.19,Grocery,2024-08-13,0.65,12.9,162,5,"Loved the fashion selection, very happy!",0,002
CUS-000051,56.0,Male,Chicago,Silver,26,1027.29,Grocery,2025-03-14,0.03,18.4,9,4,Fast shipping and excellent toys options!,0,002
CUS-000052,52.0,Non-binary,Houston,Platinum,26,633.46,Toys,2025-03-20,0.01,34.0,4,8,Amazing quality and great customer service in electronics.,0,002
CUS-000053,47.0,Female,Chicago,Gold,37,3035.42,Home,2023-06-29,0.04,18.4,0,6,Fashion products exceeded my expectations.,0,002
CUS-000054,19.0,Female,San Francisco,Platinum,30,52.63,Books,2025-01-14,0.17,83.0,39,6,Fast shipping and excellent grocery options!,1,002
CUS-000055,63.0,Male,Houston,Silver,25,1232.3,Sports,2025-01-14,0.29,51.0,2,5,Electronics products exceeded my expectations.,0,002
CUS-000056,64.0,Female,Chicago,Silver,70,1031.43,Grocery,2024-02-26,0.65,9.5,161,6,Not satisfied with the electronics products.,0,002
CUS-000057,18.0,Male,Chicago,Silver,9,739.58,Grocery,2025-01-14,0.23,61.2,127,6,Disappointed with the recent books purchase.,0,002
CUS-000058,44.0,Male,Miami,Silver,23,760.69,Sports,2024-12-27,0.5,116.9,186,11,"Service needs improvement, especially for books.",0,002
CUS-000059,20.0,Female,Boston,Gold,11,1218.39,Books,2024-10-05,0.65,5.0,267,12,Fast shipping and excellent fashion options!,0,002
CUS-000060,18.0,Female,New York,Silver,3,931.02,Sports,2023-07-17,0.47,116.0,64,6,Amazing quality and great customer service in home.,0,003
CUS-000061,69.0,Female,New York,Gold,47,52.63,Toys,2023-06-29,0.3,104.8,361,10,Very satisfied with my sports purchase.,0,003
CUS-000062,18.0,Female,New York,Gold,2,52.63,Fashion,2024-10-05,0.37,39.4,180,6,Very satisfied with my electronics purchase.,0,003
CUS-000063,18.0,Female,New York,Silver,45,52.63,Beauty,2024-08-12,0.22,49.7,83,5,Amazing quality and great customer service in fashion.,0,003
CUS-000064,18.0,,San Francisco,Platinum,21,212.82,Electronics,2025-03-29,0.03,142.3,73,1,Fast shipping and excellent grocery options!,0,003
CUS-000065,69.0,Male,Houston,Gold,31,3864.86,Sports,2025-01-14,0.3,61.9,7,9,"Loved the sports selection, very happy!",0,003
CUS-000066,23.0,Male,Houston,Silver,4,1007.26,Grocery,2024-08-18,0.51,51.9,145,8,Had issues with delivery for electronics.,0,003
CUS-000067,18.0,Female,Boston,Silver,2,52.63,Grocery,2025-03-20,0.45,5.0,0,5,Amazing quality and great customer service in sports.,0,003
CUS-000068,18.0,Male,Chicago,Silver,2,553.42,Electronics,2024-08-12,0.55,80.4,326,4,"Loved the home selection, very happy!",0,003
CUS-000069,51.0,Female,San Francisco,Silver,7,838.02,Books,2024-10-05,0.14,5.5,220,4,Very satisfied with my toys purchase.,0,003
CUS-000070,43.0,Male,Houston,Gold,70,976.3,Beauty,2025-03-20,0.23,28.6,371,9,Fast shipping and excellent grocery options!,0,003
CUS-000071,33.0,Female,San Francisco,Gold,20,1178.65,Grocery,2024-07-03,0.65,22.8,131,5,Fast shipping and excellent fashion options!,0,003
CUS-000072,52.0,Female,San Francisco,Gold,46,52.63,Sports,2025-03-20,0.01,18.0,0,3,Amazing quality and great customer service in toys.,0,003
CUS-000073,43.0,Male,Houston,Silver,26,5100.88,Grocery,2025-01-20,0.01,50.7,0,5,Sports selection could be better.,1,003
CUS-000074,18.0,Male,Chicago,Silver,6,52.63,Grocery,2025-03-20,0.02,14.9,311,9,Very satisfied with my sports purchase.,0,003
CUS-000075,58.0,Male,San Francisco,Gold,24,252.92,Books,2025-03-20,0.43,61.0,335,1,"Loved the books selection, very happy!",0,003
CUS-000076,18.0,Male,San Francisco,Silver,5,382.13,Beauty,2025-01-14,0.06,5.0,3,4,"Loved the books selection, very happy!",0,003
CUS-000077,69.0,Female,Dallas,Gold,46,634.34,Grocery,2025-03-14,0.04,66.3,56,4,Amazing quality and great customer service in toys.,0,003
CUS-000078,69.0,Male,New York,Silver,3,435.43,Sports,2025-01-14,0.44,136.9,116,15,"Loved the books selection, very happy!",0,003
CUS-000079,18.0,Female,Houston,Platinum,18,92.29,Sports,2025-03-20,0.03,32.0,38,8,Fashion products exceeded my expectations.,0,003
CUS-000080,43.0,Female,Los Angeles,Platinum,25,903.74,Electronics,2025-01-14,0.01,5.0,3,5,Disappointed with the recent books purchase.,0,003
CUS-000081,69.0,Female,San Francisco,Silver,25,181.18,Grocery,2025-03-23,0.44,58.3,362,8,Amazing quality and great customer service in sports.,0,003
CUS-000082,69.0,Male,Chicago,Gold,26,845.41,Sports,2025-05-17,0.65,107.5,371,7,Very satisfied with my grocery purchase.,0,003
CUS-000083,18.0,Male,Chicago,Gold,16,978.17,Toys,2025-01-14,0.56,7.1,31,7,Very satisfied with my books purchase.,0,003
CUS-000084,69.0,Female,Houston,Gold,12,52.63,Fashion,2023-09-03,0.24,114.4,222,7,Not satisfied with the fashion products.,0,003
CUS-000085,69.0,Male,Chicago,Silver,56,994.46,Grocery,2025-01-14,0.3,84.2,0,8,Fast shipping and excellent electronics options!,0,003
CUS-000086,30.0,Male,Dallas,Silver,2,2648.58,Home,2024-10-30,0.41,95.7,339,4,Amazing quality and great customer service in electronics.,0,003
CUS-000087,18.0,Male,Houston,Silver,18,617.48,Books,2024-06-12,0.65,86.0,163,6,Electronics products exceeded my expectations.,0,003
CUS-000088,26.0,Female,Miami,Gold,34,2800.64,Beauty,2025-04-30,0.03,50.3,118,3,Sports selection could be better.,0,003
CUS-000089,,Female,New York,Platinum,41,1008.25,Electronics,2025-01-11,0.44,50.7,228,1,Amazing quality and great customer service in electronics.,0,003
CUS-000090,69.0,Male,Los Angeles,Gold,26,52.63,Beauty,2025-03-20,0.01,111.4,0,7,Fast shipping and excellent beauty options!,0,004
CUS-000091,,Female,Los Angeles,Platinum,3,52.63,Fashion,2023-12-26,0.3,88.8,237,7,Fast shipping and excellent home options!,0,004
CUS-000092,43.0,Female,Miami,Gold,27,52.63,Sports,2025-03-20,0.21,106.0,221,6,Fast shipping and excellent toys options!,0,004
CUS-000093,18.0,Male,Miami,Silver,2,698.36,Fashion,2024-08-27,0.65,19.2,356,7,Fast shipping and excellent fashion options!,0,004
CUS-000094,46.0,Male,Chicago,Silver,41,52.63,Home,2024-08-12,0.51,57.3,0,3,Fast shipping and excellent electronics options!,0,004
CUS-000095,69.0,Female,New York,Platinum,13,258.1,Toys,2025-03-20,0.25,80.0,11,11,Fast shipping and excellent beauty options!,0,004
CUS-000096,18.0,Male,New York,Gold,3,1047.07,Toys,2023-07-11,0.25,142.3,238,8,Toys products exceeded my expectations.,0,004
CUS-000097,30.0,Male,Dallas,Gold,22,1118.73,Electronics,2024-10-30,0.65,5.0,65,8,"Loved the beauty selection, very happy!",0,004
CUS-000098,57.0,Non-binary,San Francisco,Platinum,6,573.79,Sports,2024-10-05,0.56,103.8,0,3,Amazing quality and great customer service in electronics.,0,004
CUS-000099,18.0,Male,Boston,Silver,7,868.36,Toys,2024-02-06,0.2,83.7,349,8,Amazing quality and great customer service in fashion.,0,004
CUS-000100,69.0,Female,Houston,Silver,24,52.63,Toys,2025-01-14,0.19,80.5,96,8,Amazing quality and great customer service in grocery.,0,004
CUS-000101,52.0,Female,San Francisco,Silver,26,912.89,Sports,2025-04-14,0.01,35.7,126,6,Toys products exceeded my expectations.,1,004
CUS-000102,25.0,Male,New York,Gold,25,711.23,Toys,2025-01-01,0.52,5.0,48,8,Very satisfied with my toys purchase.,0,004
CUS-000103,18.0,Female,Boston,Platinum,6,2703.41,Electronics,2025-01-01,0.54,30.0,268,7,Very satisfied with my electronics purchase.,0,004
CUS-000104,18.0,Female,Houston,Silver,25,950.1,Toys,2025-03-20,0.54,116.1,277,3,Toys products exceeded my expectations.,0,004
CUS-000105,61.0,Female,New York,Silver,2,673.51,Toys,2025-03-20,0.65,24.3,18,5,Amazing quality and great customer service in toys.,0,004
CUS-000106,19.0,Male,Boston,Gold,2,959.5,Sports,2025-01-14,0.65,80.4,232,3,Amazing quality and great customer service in fashion.,0,004
CUS-000107,51.0,Female,Houston,Silver,13,52.63,Books,2023-06-29,0.16,85.9,0,6,Fast shipping and excellent grocery options!,1,004
CUS-000108,29.0,Male,Miami,Silver,12,52.63,Books,2024-10-05,0.05,103.2,0,8,Amazing quality and great customer service in fashion.,0,004
CUS-000109,18.0,Male,Los Angeles,Gold,47,540.08,Home,2024-10-05,0.52,11.7,261,3,Very satisfied with my home purchase.,0,004
CUS-000110,18.0,Non-binary,Chicago,Silver,24,1218.89,Home,2025-01-14,0.09,48.1,230,9,Fashion products exceeded my expectations.,0,004
CUS-000111,51.0,Non-binary,Houston,Platinum,19,866.81,Sports,2025-03-14,0.65,13.5,340,6,"Loved the home selection, very happy!",0,004
CUS-000112,53.0,Female,Miami,Gold,22,1066.45,Grocery,2024-03-31,0.4,60.8,281,9,Amazing quality and great customer service in toys.,0,004
CUS-000113,69.0,Female,New York,Gold,22,52.63,Fashion,2023-09-03,0.01,100.1,0,8,Amazing quality and great customer service in books.,0,004
CUS-000114,69.0,Female,New York,Gold,27,1001.1,Toys,2023-12-07,0.65,113.6,204,6,Fast shipping and excellent electronics options!,1,004
CUS-000115,39.0,Male,New York,Silver,36,52.63,Grocery,2023-06-29,0.01,84.4,167,9,Very satisfied with my beauty purchase.,0,004
CUS-000116,18.0,Non-binary,Miami,Silver,37,2612.41,Home,2025-01-14,0.02,27.5,177,9,Fast shipping and excellent fashion options!,1,004
CUS-000117,42.0,Female,Chicago,Silver,70,867.74,Grocery,2024-02-06,0.17,108.8,308,6,Beauty products exceeded my expectations.,0,004
CUS-000118,69.0,Male,Miami,Silver,32,52.63,Sports,2025-01-14,0.12,103.2,0,3,Disappointed with the recent toys purchase.,0,004
CUS-000119,69.0,Male,Chicago,Silver,13,1046.3,Toys,2024-03-31,0.56,35.6,23,6,Fashion products exceeded my expectations.,0,004
CUS-000120,57.0,Male,Chicago,Gold,25,1004.99,Sports,2025-03-20,0.47,5.0,371,1,Amazing quality and great customer service in grocery.,0,005
CUS-000121,48.0,Female,San Francisco,Silver,2,516.82,Sports,2025-01-14,0.01,116.6,0,11,Very satisfied with my books purchase.,0,005
CUS-000122,22.0,Female,San Francisco,Silver,2,52.63,Home,2024-06-12,0.34,96.2,10,8,"Loved the fashion selection, very happy!",0,005
CUS-000123,18.0,Male,New York,Gold,4,299.36,Toys,2025-04-04,0.13,16.7,371,10,Beauty products exceeded my expectations.,0,005
CUS-000124,61.0,Male,Boston,Silver,11,5623.42,Books,2024-12-30,0.27,5.0,141,8,Amazing quality and great customer service in beauty.,0,005
CUS-000125,52.0,Female,Houston,Platinum,5,420.15,Beauty,2023-08-16,0.01,46.4,20,8,Had issues with delivery for home.,0,005
CUS-000126,63.0,Male,San Francisco,Silver,5,59.66,Toys,2025-01-14,0.43,5.1,85,7,Amazing quality and great customer service in home.,1,005
CUS-000127,69.0,Female,San Francisco,Gold,18,1049.45,Beauty,2025-01-14,0.16,5.0,0,9,Books products exceeded my expectations.,0,005
CUS-000128,18.0,Male,Miami,Silver,2,52.63,Sports,2023-08-28,0.38,113.1,134,4,"Loved the toys selection, very happy!",0,005
CUS-000129,69.0,Male,San Francisco,Gold,25,881.73,Books,2025-01-14,0.03,14.2,0,4,Very satisfied with my sports purchase.,0,005
CUS-000130,48.0,Female,Houston,Platinum,14,968.38,Grocery,2025-03-20,0.32,20.7,38,9,Amazing quality and great customer service in beauty.,0,005
CUS-000131,69.0,Male,Dallas,Silver,26,132.27,Toys,2025-03-20,0.42,13.5,157,9,Not satisfied with the sports products.,0,005
CUS-000132,18.0,Male,Houston,Platinum,13,833.42,Grocery,2024-06-12,0.15,68.7,119,9,Toys products exceeded my expectations.,0,005
CUS-000133,69.0,Female,San Francisco,Silver,24,766.5,Sports,2025-03-20,0.52,5.0,291,8,Sports selection could be better.,0,005
CUS-000134,69.0,Male,Miami,Silver,13,686.83,Books,2024-01-26,0.18,5.0,0,8,"Service needs improvement, especially for toys.",0,005
CUS-000135,18.0,Male,San Francisco,Silver,13,52.63,Grocery,2023-09-23,0.01,60.7,44,7,Amazing quality and great customer service in grocery.,0,005
CUS-000136,45.0,Female,Houston,Gold,17,1006.14,Books,2024-03-31,0.35,68.4,106,8,Very satisfied with my books purchase.,0,005
CUS-000137,69.0,Female,Houston,Silver,18,3394.83,Fashion,2025-01-14,0.12,5.0,0,4,Not satisfied with the beauty products.,0,005
CUS-000138,33.0,Female,San Francisco,Silver,16,52.63,Grocery,2025-03-20,0.08,111.8,0,2,Disappointed with the recent home purchase.,0,005
CUS-000139,53.0,Male,New York,Platinum,46,52.63,Sports,2024-06-04,0.01,64.8,0,11,"Service needs improvement, especially for sports.",0,005
CUS-000140,45.0,Male,Chicago,Gold,26,756.33,Sports,2025-05-29,0.56,90.2,371,11,Very satisfied with my toys purchase.,0,005
CUS-000141,69.0,Male,Miami,Silver,70,52.63,Home,2024-10-05,0.1,77.9,31,8,"Loved the home selection, very happy!",0,005
CUS-000142,69.0,Female,Los Angeles,Platinum,25,52.63,Sports,2024-03-23,0.01,120.7,93,7,Not satisfied with the grocery products.,0,005
CUS-000143,18.0,Male,New York,Gold,14,1030.33,Electronics,2025-01-14,0.29,79.1,82,7,Very satisfied with my fashion purchase.,0,005
CUS-000144,69.0,Female,Chicago,Silver,48,52.63,Home,2025-01-14,0.3,5.0,59,3,Fast shipping and excellent books options!,0,005
CUS-000145,69.0,Male,Chicago,Silver,22,52.63,Sports,2025-03-14,0.22,28.7,46,8,Had issues with delivery for electronics.,0,005
CUS-000146,18.0,Male,San Francisco,Gold,3,91.18,Home,2024-10-03,0.33,107.7,358,6,"Service needs improvement, especially for grocery.",0,005
CUS-000147,44.0,Male,New York,Silver,5,52.63,Sports,2025-03-20,0.28,95.9,0,6,Sports products exceeded my expectations.,0,005
CUS-000148,59.0,Male,Miami,Silver,25,3521.9,Beauty,2024-04-06,0.16,69.3,213,2,Books products exceeded my expectations.,0,005
CUS-000149,44.0,Male,New York,Gold,23,1199.51,Electronics,2025-03-20,0.2,50.1,371,9,Fast shipping and excellent sports options!,0,005
CUS-000150,37.0,Male,Chicago,Silver,4,895.32,Sports,2024-08-12,0.55,114.7,361,3,"Service needs improvement, especially for toys.",0,006
CUS-000151,18.0,Female,New York,Gold,3,52.63,Toys,2023-08-16,0.47,9.8,0,5,Had issues with delivery for toys.,0,006
CUS-000152,18.0,Male,New York,Silver,3,1146.1,Grocery,2024-06-12,0.27,5.0,24,15,Very satisfied with my grocery purchase.,0,006
CUS-000153,18.0,Male,San Francisco,Gold,26,5424.0,Beauty,2025-01-14,0.12,37.0,371,5,Amazing quality and great customer service in home.,0,006
CUS-000154,18.0,Non-binary,New York,Gold,4,480.92,Sports,2025-03-20,0.12,29.3,127,9,Fast shipping and excellent sports options!,0,006
CUS-000155,54.0,Male,Chicago,Gold,32,52.63,Fashion,2024-03-31,0.04,52.8,128,8,Amazing quality and great customer service in beauty.,0,006
CUS-000156,18.0,Male,Chicago,Gold,13,769.93,Beauty,2025-03-29,0.4,86.1,345,5,Fast shipping and excellent books options!,0,006
CUS-000157,47.0,Male,Miami,Platinum,18,52.63,Books,2024-10-30,0.44,63.6,0,7,Sports selection could be better.,0,006
CUS-000158,21.0,Female,New York,Platinum,6,2691.17,Grocery,2025-03-20,0.65,16.4,240,3,Very satisfied with my beauty purchase.,0,006
CUS-000159,19.0,Male,Miami,Silver,36,349.09,Sports,2024-09-17,0.32,89.1,49,7,Electronics products exceeded my expectations.,0,006
CUS-000160,41.0,Female,Chicago,Gold,23,52.63,Beauty,2024-02-03,0.09,24.9,56,6,Amazing quality and great customer service in electronics.,0,006
CUS-000161,69.0,Male,Houston,Gold,21,461.61,Home,2023-09-03,0.65,32.2,44,3,Amazing quality and great customer service in home.,1,006
CUS-000162,18.0,Male,Boston,Platinum,12,52.63,Grocery,2024-08-12,0.31,75.3,202,10,Amazing quality and great customer service in grocery.,0,006
CUS-000163,45.0,Male,Chicago,Silver,26,668.8,Fashion,2025-01-14,0.01,12.7,71,7,Very satisfied with my beauty purchase.,1,006
CUS-000164,29.0,Female,Boston,Silver,19,562.01,Home,2025-03-20,0.42,5.0,256,8,"Service needs improvement, especially for toys.",0,006
CUS-000165,18.0,Male,Miami,Silver,11,595.57,Grocery,2025-03-20,0.21,109.8,34,7,Disappointed with the recent home purchase.,0,006
CUS-000166,27.0,Female,San Francisco,Silver,2,1056.07,Electronics,2025-01-14,0.43,32.4,146,11,Amazing quality and great customer service in electronics.,0,006
CUS-000167,18.0,Male,Chicago,Silver,2,267.33,Home,2024-12-31,0.16,8.7,371,8,"Service needs improvement, especially for toys.",0,006
CUS-000168,69.0,Female,Houston,Silver,5,52.63,Grocery,2025-01-14,0.01,5.0,0,7,Fast shipping and excellent books options!,0,006
CUS-000169,18.0,Male,Boston,Gold,60,1124.23,Toys,2025-01-14,0.19,62.8,47,8,Very satisfied with my toys purchase.,0,006
CUS-000170,18.0,Male,Houston,Silver,15,52.63,Grocery,2023-08-16,0.08,8.0,65,15,"Loved the electronics selection, very happy!",0,006
CUS-000171,69.0,Male,New York,Silver,34,160.95,Sports,2024-04-16,0.11,119.4,371,8,Not satisfied with the electronics products.,0,006
CUS-000172,40.0,Female,San Francisco,Silver,6,52.63,Electronics,2025-01-14,0.01,18.5,0,4,Had issues with delivery for home.,1,006
CUS-000173,18.0,Male,Chicago,Gold,10,250.59,Electronics,2025-01-14,0.64,88.9,270,7,Very satisfied with my electronics purchase.,1,006
CUS-000174,69.0,Female,Dallas,Silver,47,170.71,Grocery,2025-01-11,0.65,65.2,12,2,Fast shipping and excellent books options!,0,006
CUS-000175,18.0,Male,Los Angeles,Silver,14,1031.87,Fashion,2025-01-11,0.65,69.8,126,3,Fast shipping and excellent toys options!,1,006
CUS-000176,41.0,Male,Chicago,Gold,42,2207.45,Electronics,2024-05-23,0.15,93.6,353,3,"Loved the books selection, very happy!",1,006
CUS-000177,43.0,Female,Houston,Gold,20,1026.53,Grocery,2024-03-31,0.01,58.4,22,9,Amazing quality and great customer service in sports.,0,006
CUS-000178,54.0,Female,San Francisco,Silver,16,52.63,Toys,2024-03-10,0.02,102.6,179,6,"Loved the toys selection, very happy!",1,006
CUS-000179,54.0,Male,Houston,Silver,4,52.63,Sports,2024-05-22,0.06,129.6,308,12,"Loved the home selection, very happy!",0,006
CUS-000180,45.0,Male,Houston,Gold,14,391.68,Sports,2025-03-20,0.06,47.9,0,17,"Loved the home selection, very happy!",0,007
CUS-000181,43.0,Male,Chicago,Silver,17,261.05,Sports,2023-08-31,0.07,113.1,0,6,Very satisfied with my electronics purchase.,0,007
CUS-000182,18.0,Male,Dallas,Platinum,11,139.33,Beauty,2025-01-14,0.43,51.2,334,9,Amazing quality and great customer service in books.,0,007
CUS-000183,69.0,Male,Miami,Silver,46,52.63,Books,2025-01-14,0.03,65.4,0,3,Fast shipping and excellent toys options!,0,007
CUS-000184,37.0,Male,Houston,Silver,27,859.41,Toys,2025-03-14,0.16,18.7,131,5,Toys products exceeded my expectations.,0,007
CUS-000185,41.0,Female,Miami,Silver,51,52.63,Home,2025-03-20,0.2,117.2,260,7,Fast shipping and excellent books options!,0,007
CUS-000186,40.0,Male,Chicago,Gold,46,869.65,Toys,2023-09-03,0.36,103.8,371,3,Fast shipping and excellent grocery options!,0,007
CUS-000187,18.0,Male,Chicago,Silver,18,662.69,Books,2024-10-05,0.05,102.4,320,5,Amazing quality and great customer service in sports.,0,007
CUS-000188,69.0,Male,San Francisco,Silver,10,244.52,Sports,2024-10-30,0.17,25.0,217,9,Amazing quality and great customer service in books.,0,007
CUS-000189,24.0,Male,Houston,Gold,70,651.28,Sports,2023-09-03,0.08,106.7,343,3,Not satisfied with the sports products.,0,007
CUS-000190,69.0,Female,New York,Silver,22,166.06,Grocery,2025-03-20,0.42,62.1,50,7,Amazing quality and great customer service in fashion.,0,007
CUS-000191,65.0,Male,Dallas,Platinum,36,52.63,Toys,2025-03-20,0.65,104.6,8,3,Sports products exceeded my expectations.,1,007
CUS-000192,69.0,Female,Miami,Silver,25,544.36,Grocery,2024-10-05,0.03,117.7,212,10,Amazing quality and great customer service in grocery.,0,007
